departement;departement_commune;libelle_de_commune;arrondissement;canton_ville;zone_d_emploi;unite_urbaine;population_2010;etablissement_sante_court_sejour;etablissement_sante_moyen_sejour;etablissement_sante_long_sejour;etablissement_psychiatrique;centre_lutte_cancer;urgences;maternite;centre_de_sante;structures_psychiatriques_en_ambulatoire;centre_medecine_preventive;dialyse;hospitalisation_a_domicile;pharmacie;laboratoire_d_analyses_medicales;ambulance;transfusion_sanguine;etablissement_thermal;etablissement_lutte_contre_l_alcoolisme;geo_point_2d;geo_shape
78;78557;Saint-Hilarion;782;7818;1112;355;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.6224983516,1.72861527853;"{""type"": ""Polygon"", ""coordinates"": [[[1.752669945881442, 48.6086072183476], [1.738343397328802, 48.60413804535553], [1.71812507993037, 48.60717873723221], [1.715143387383042, 48.61314713521367], [1.691464016963653, 48.61440964595551], [1.689120799597955, 48.611541030232694], [1.6832379399562312, 48.6151106415365], [1.6908096961625372, 48.61724528867275], [1.69799217126196, 48.627417829960315], [1.709581551304758, 48.63293266136378], [1.713439931923689, 48.631121189699826], [1.729496765437648, 48.64616404099065], [1.739946739404807, 48.63841248479759], [1.757850133402431, 48.63156559252578], [1.75968043338246, 48.621338098471675], [1.752669945881442, 48.6086072183476]]]}"
78;78601;Sonchamp;782;7819;1112;78000;1577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.5880930813,1.86888636176;"{""type"": ""Polygon"", ""coordinates"": [[[1.8940742894163782, 48.53501164383857], [1.8761303288045321, 48.5417167408192], [1.872429327359197, 48.54812320527914], [1.8547535098877712, 48.56020749406361], [1.850072194783583, 48.5616917237851], [1.840521462342749, 48.55903502304753], [1.832589596326585, 48.56344667318684], [1.832309037057336, 48.57117184147552], [1.8244484948483581, 48.594044042250694], [1.8309289413492982, 48.62026860357493], [1.857693811733357, 48.63423813530981], [1.8770435021569551, 48.63507880714333], [1.892020272511097, 48.6264480901866], [1.875220602437732, 48.61443395818185], [1.928634188017245, 48.58195604403426], [1.915249582258416, 48.57682391013692], [1.908747603227967, 48.567444335631116], [1.8997938877291198, 48.563925275049506], [1.9021470880681162, 48.557703548980406], [1.894945097251211, 48.553471523632986], [1.8964907434659382, 48.537984960562504], [1.8940742894163782, 48.53501164383857]]]}"
78;78674;Villepreux;783;7822;1116;851;9871;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;48.8311450096,2.0130908572;"{""type"": ""Polygon"", ""coordinates"": [[[2.024795938684651, 48.811853223111804], [2.00039300751167, 48.813936219254316], [1.99591420176333, 48.827282096195056], [1.983641156520402, 48.833537293957974], [1.986776831100443, 48.83973385899155], [2.000680939329159, 48.84368229079685], [2.005748582886913, 48.84947168441984], [2.015453779561646, 48.848643552792154], [2.02644287340654, 48.84253662739835], [2.035476598494873, 48.84550586856871], [2.041544969402519, 48.843045322515145], [2.030921177508554, 48.83179812636657], [2.034785406512309, 48.82617208372394], [2.024795938684651, 48.811853223111804]]]}"
91;91198;D'Huison-Longueville;911;9111;1115;91402;1409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.4557191202,2.32754055181;"{""type"": ""Polygon"", ""coordinates"": [[[2.328621284867114, 48.433407169672904], [2.324223466616759, 48.43371508271801], [2.318955102472946, 48.441727999419534], [2.31020370161146, 48.449153664631], [2.310699983781749, 48.45255726414275], [2.292920353380398, 48.459209122497114], [2.304068646575952, 48.467173947336576], [2.317220817578998, 48.46280603602799], [2.344160658725325, 48.47629963001473], [2.348556364219827, 48.4720775211715], [2.34565208844815, 48.455427060577186], [2.353154601304003, 48.451356758003726], [2.347352808744369, 48.44590905569809], [2.3304574732550423, 48.43996713010534], [2.328621284867114, 48.433407169672904]]]}"
91;91479;Paray-Vieille-Poste;913;9102;1118;851;7111;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;48.7241848219,2.3598349385;"{""type"": ""Polygon"", ""coordinates"": [[[2.353874105419902, 48.70178183888006], [2.351677731478892, 48.70247151116365], [2.354001955719584, 48.715625338756546], [2.344130876678267, 48.716938673758136], [2.349134352054041, 48.72229087145896], [2.345661895503521, 48.731446318158376], [2.353948215118505, 48.738660051053486], [2.3693474179284753, 48.74607283234519], [2.370437363052879, 48.72786483659373], [2.370706732277136, 48.720175922532974], [2.369306110028766, 48.70782790708772], [2.355793865582265, 48.70478746220075], [2.353874105419902, 48.70178183888006]]]}"
77;77018;Bailly-Romainvilliers;775;7743;1102;77301;6516;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;48.8434284926,2.81665828126;"{""type"": ""Polygon"", ""coordinates"": [[[2.803030137156004, 48.82920343684943], [2.8023474862687623, 48.829616009618206], [2.796167202782693, 48.84252016542104], [2.7983896860184583, 48.856202736080405], [2.814432634017069, 48.855680102440175], [2.834509512037865, 48.859378786853526], [2.829015144242696, 48.843264111051674], [2.837827830066352, 48.8398319291511], [2.841144378260184, 48.83346006709394], [2.832435950371334, 48.83029149069933], [2.812501621724072, 48.831772798976445], [2.803030137156004, 48.82920343684943]]]}"
77;77030;Bellot;773;7726;1103;77000;809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.8416858718,3.3240177722;"{""type"": ""Polygon"", ""coordinates"": [[[3.354935311044213, 48.83828211687246], [3.3474691862621713, 48.83418503248709], [3.347728584329356, 48.82405757771897], [3.343940240426813, 48.82171221916094], [3.328586154330093, 48.823158391019], [3.313726242125991, 48.82311735717717], [3.308058057091326, 48.82735905238345], [3.293061714089588, 48.82748667586822], [3.2890271709159338, 48.836840705817096], [3.297310624967321, 48.84881757822649], [3.307554175385924, 48.862011816933304], [3.332739089213279, 48.85924646797629], [3.339729448259223, 48.854811122498276], [3.349353706389929, 48.85722059568236], [3.359506935260709, 48.8650506374589], [3.361121388242065, 48.86197907983944], [3.352727693823895, 48.85431485362819], [3.354935311044213, 48.83828211687246]]]}"
77;77187;Fontaine-Fourches;773;7701;1108;77000;596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.4120304455,3.39431258442;"{""type"": ""Polygon"", ""coordinates"": [[[3.4147915595010963, 48.39027303882033], [3.400112402755517, 48.390827308032044], [3.385191769718128, 48.39902778132664], [3.3753943283667383, 48.39869033751722], [3.37730854418681, 48.405629713599815], [3.369575827580034, 48.42238776525195], [3.369893006301988, 48.432885716232995], [3.382661678159755, 48.43379885266743], [3.397040330354071, 48.434804201150016], [3.393332533709603, 48.42531622783125], [3.411833268063609, 48.42132194538095], [3.404921920272746, 48.415461958725615], [3.420679913020782, 48.415452101532644], [3.42087166686233, 48.40901881274526], [3.4147915595010963, 48.39027303882033]]]}"
77;77193;Forfry;771;7709;56;77000;270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.0535919932,2.84961058916;"{""type"": ""Polygon"", ""coordinates"": [[[2.881721309674302, 49.05198897986675], [2.871957866968443, 49.04474072034807], [2.862746809089659, 49.046852575440084], [2.8476016288771593, 49.04777843698431], [2.833658424611049, 49.0448286636673], [2.8211538842920323, 49.05351458426419], [2.83692723800114, 49.06233974710243], [2.857407422617069, 49.06348074064255], [2.857484877194609, 49.06018994302028], [2.867080937533485, 49.058339696504895], [2.872307404342198, 49.05277959338482], [2.881721309674302, 49.05198897986675]]]}"
77;77321;Mousseaux-lès-Bray;773;7701;1108;77116;692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.3959388077,3.22954318005;"{""type"": ""Polygon"", ""coordinates"": [[[3.214171063015805, 48.36747653327141], [3.216471758193519, 48.40158802735881], [3.220362590766078, 48.40795945990754], [3.213765532347558, 48.41721099923629], [3.21521162542983, 48.42051010564351], [3.228946744413149, 48.41810931215962], [3.233278696083478, 48.41666142714525], [3.2321147452426082, 48.40710035783419], [3.235984037485517, 48.405149454172836], [3.254312370199581, 48.40923201346036], [3.260683792043164, 48.40243472861396], [3.24763325861772, 48.3969657416111], [3.234845449516803, 48.38619570926677], [3.226023668774896, 48.37008160222319], [3.214171063015805, 48.36747653327141]]]}"
